Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2014;663;A. Jerrold Perenchio;United States;USA;2.6;83.0;Non-Traded Sectors;self-made;;executive;Media;former chairman and CEO;male;television, Univision;media;Univision;aquired;1955;;;North America;represented Marlon Brando and Elizabeth Taylor;;138.802093506;1.87317049503;North,Founder,Real Billionaires
2014;1284;Akio Nitori;Japan;JPN;1.3;70.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail;home furnishings;Nitori;new;1967;;;East Asia;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2014;354;Akira Mori;Japan;JPN;4.2;77.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;real estate;construction;Mori Building;new;1959;;;East Asia;inherited from father;;;;North,Founder
2014;396;Alain Merieux;France;FRA;3.8;76.0;New Sectors;inherited;Third generation;inherited;Technology-Medical;relation;male;pharmaceuticals;pharmaceuticals;Institut Merieux;new;1897;;;Europe;founded BioMerieux himself in 1963;3rd generation;;;North,Founder
2014;764;Alexander Mamut;Russia;RUS;2.3;54.0;Financial;self-made;;privatized and resources;Diversified financial;investor;male;investments;technology;Livejournal;new;1999;1.0;;Europe;advisor to Boris Yeltsin;;138.802093506;1.65703547001;North,Founder,Real Billionaires
2014;609;Alexandra Schorghuber;Germany;DEU;2.8;55.0;Financial;inherited;spouse or widow;inherited;Real Estate;relation;female;real estate;real estate;Schorghuber Group;new;1954;;;Europe;widow;;138.802093506;2.01726055145;North,Founder,Real Billionaires
1996;122;Alfred Heineken;Netherlands;NLD;2.59999990463;0.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;female;;beer;Heineken International;new;1864;;442598692810.0;Europe;inherited 3 billion pounds upon death of father in 2002;only child;100.000007629;2.59999966621;North,Founder,Real Billionaires
1996;294;Alfred Lerner;United States;USA;1.39999997616;0.0;0.0;self-made;;executive;Other;chairman;male;;credit cards;MBNA;subsidiary;1982;;8100200000000.0;North America;;;100.000007629;1.39999985695;North,Founder,Real Billionaires
2001;69;Alfred Lerner;United States;USA;5.09999990463;;0.0;self-made;;executive;Other;chairman;male;;credit cards;MBNA;subsidiary;1982;;10621824000000.0;North America;;;109.114585876;4.67398548126;North,Founder,Real Billionaires
2014;1078;Alfred Oetker;Germany;DEU;1.65;47.0;Traded Sectors;inherited;Fourth generation;inherited;Consumer;relation;male;consumer goods;retail;Oetker-Gruppe;new;1891;;;Europe;4th generation;;138.802093506;1.18874287605;North,Founder,Real Billionaires
2014;1442;Alfredo Egydio Arruda Villela Filho;Brazil;BRA;1.15;44.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;banking;banking;Itausa Investimentos Itau SA;new;1966;;;Latin America;inherited from parents;;138.802093506;0.828517735004;North,Founder,Real Billionaires
2014;13;Alice Walton;United States;USA;34.3;64.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;female;Wal-Mart;retail;Walmart;new;1962;;;North America;inherited from father;;138.802093506;24.7114429474;North,Founder,Real Billionaires
2014;267;Anders Holch Povlsen;Denmark;DEN;5.3;41.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;male;retail;fashion;Bestseller;new;1975;;;Europe;inherited from parents;;138.802093506;3.8183863163;North,Founder,Real Billionaires
2014;731;Andrej Babis;Czech Republic;CZE;2.4;59.0;Traded Sectors;self-made;;executive;Consumer;owner and former CEO;male;agriculture;agriculteral;Agrofert;new;1993;;;Europe;;;138.802093506;1.72908055782;North,Founder,Real Billionaires
2014;97;Andrey Melnichenko;Russia;RUS;11.4;41.0;Resource Related;self-made;;privatized and resources;Energy;founder;male;coal, fertilizers;banking;MDM Bank;new;1993;;;Europe;;;138.802093506;8.2131319046;North,Founder,Real Billionaires
2014;305;Ann Walton Kroenke;United States;USA;4.8;65.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;female;Wal-Mart;retail;Walmart;new;1962;;;North America;inherited from father;not involved in company;138.802093506;3.45816111565;North,Founder,Real Billionaires
2014;1565;Anne Beaufour;France;FRA;1.0;50.0;New Sectors;inherited;Third generation;inherited;Technology-Medical;relation;female;pharmaceuticals;pharmaceuticals;Ipsen;new;1929;;;Europe;3rd generation;;138.802093506;0.720450222492;North,Founder,Real Billionaires
2001;387;Anthony Bamford;United Kingdom;GBR;1.29999995232;55.0;Non-Traded Sectors;inherited;inherited from father;inherited;Constrution;relation;male;;heavy equiptment (excavators, backhoes and tractors);JCB;new;1945;;1529094573200.0;Europe;inherited from father;;109.114585876;1.19140803814;North,Founder,Real Billionaires
2001;421;Archie Aldis Emmerson;United States;USA;1.20000004768;71.0;Resource Related;self-made;;privatized and resources;Mining and metals;founder;male;;lumber, real estate;Sierra Pacific Industries;new;1949;;10621824000000.0;North America;;;109.114585876;1.09976136684;North,Founder,Real Billionaires
2014;375;Arkady Rotenberg;Russia;RUS;4.0;62.0;Non-Traded Sectors;self-made;;privatized and resources;Constrution;owner;male;construction, pipes, banking;construction;SGM Group, Mostotrest, TPS Avia;new, privitization;1930;1.0;;Europe;"judo sparring partner with president Putin; president of the multi-championship-winning hockey club Dynamo Moscow, which used to be sponsored by the KGB.";;138.802093506;2.88180088997;North,Founder,Real Billionaires
2014;408;Axel Oberwelland;Germany;DEU;3.7;47.0;Traded Sectors;inherited;Fourth generation;inherited;Consumer;relation;male;candy;candy;Storck;new;1903;;;Europe;4th generation;;138.802093506;2.66566586494;North,Founder,Real Billionaires
1996;288;Ayhan Sahenk;Turkey;TUR;1.39999997616;0.0;Financial;self-made;;self-made finance;Money Management;founder;male;;construction;Dogus Holding;new;1951;;181475555283.0;Middle East/North Africa;;;100.000007629;1.39999985695;North,Founder,Real Billionaires
